Scheme Name	Net Asset Value
NIPPON INDIA DYNAMIC BOND FUND - Direct Plan - QUARTERLY IDCW Option	10.2613
Nippon India Dynamic Bond Fund - Direct Plan Growth Plan - Growth Option	34.3357
NIPPON INDIA DYNAMIC BOND FUND - IDCW Option	21.6742
NIPPON INDIA DYNAMIC BOND FUND - QUARTERLY IDCW Option	10.1674
Nippon India Dynamic Bond Fund-Growth Plan-Growth Option	32.2235
	
	
	
PGIM India Dynamic Bond Fund - Direct Plan-Growth Option	2539.0037
PGIM India Dynamic Bond Fund - Direct Plan-Monthly Dividend Option	1564.4811
PGIM India Dynamic Bond Fund - Direct Plan-Quarterly Dividend Option	1171.1402
PGIM India Dynamic Bond Fund - Dividend Option - Monthly	1075.7507
PGIM India Dynamic Bond Fund - Dividend Option - Quarterly	1068.2597
PGIM India Dynamic Bond Fund - Growth Option	2285.4751
PGIM India Dynamic Bond Fund-Bonus Option	1631.8015
	
	
	
Quantum Dynamic Bond Fund - Direct Plan Growth Option	18.5895
Quantum Dynamic Bond Fund - Direct Plan Monthly IDCW	10.1896
Quantum Dynamic Bond Fund - Regular Plan Growth Option	18.4407
Quantum Dynamic Bond Fund - Regular Plan Monthly IDCW	10.2522
	
	
	
SBI Dynamic Bond Fund - DIRECT PLAN - Growth	33.4826
SBI Dynamic Bond Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW)	18.7021
SBI Dynamic Bond Fund - REGULAR PLAN - Growth	31.0438
SBI Dynamic Bond Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW)	16.2748
	
	
	
Tata Dynamic Bond Fund- Direct Plan-Growth Option	38.2366
Tata Dynamic Bond Fund- Regular Plan - Growth Option	34.9217
Tata Dynamic Bond Fund- Regular Plan - Payout of IDCW Option	20.1116
Tata Dynamic Bond- Direct Plan - Payout of IDCW Option	22.6907
	
	
	
Union Dynamic Bond Fund - Direct Plan - Growth Option	21.3481
Union Dynamic Bond Fund - Direct Plan - IDCW Option	14.2999
Union Dynamic Bond Fund - Growth Option	20.3060
Union Dynamic Bond Fund - IDCW Option	13.5382
	
	
	
UTI - Dynamic Bond Fund (Segregated - 17022020) - Direct Plan - Growth Option	1.3473
UTI - Dynamic Bond Fund (Segregated - 17022020) - Regular Plan - Growth Option	1.2708
UTI Dynamic Bond Fund ( Segregated - 17022020 ) - Direct Plan - Annual IDCW	0.7238
UTI Dynamic Bond Fund ( Segregated - 17022020 ) - Direct Plan - Flexi IDCW	0.7329
UTI Dynamic Bond Fund ( Segregated - 17022020 ) - Direct Plan - Half-Yearly IDCW	0.7258
UTI Dynamic Bond Fund ( Segregated - 17022020 ) - Direct Plan - Quarterly IDCW	1.0369
UTI Dynamic Bond Fund ( Segregated - 17022020 ) - Regular Plan - Annual IDCW	0.6989
UTI Dynamic Bond Fund ( Segregated - 17022020 ) - Regular Plan - Flexi IDCW	0.7036
UTI Dynamic Bond Fund ( Segregated - 17022020 ) - Regular Plan - Half-Yearly IDCW	0.6896
UTI Dynamic Bond Fund ( Segregated - 17022020 ) - Regular Plan - Quarterly IDCW	0.7527
UTI Dynamic Bond Fund - Direct Plan - Annual IDCW	13.4139
UTI Dynamic Bond Fund - Direct Plan - Flexi IDCW	14.4832
UTI Dynamic Bond Fund - Direct Plan - Growth Option	28.8597
UTI Dynamic Bond Fund - Direct Plan - Half-Yearly IDCW	14.206
UTI Dynamic Bond Fund - Direct Plan - Quarterly IDCW	22.2087
UTI Dynamic Bond Fund - Regular Plan - Annual IDCW	12.7498
UTI Dynamic Bond Fund - Regular Plan - Flexi IDCW	14.2884
UTI Dynamic Bond Fund - Regular Plan - Growth Option	26.9571
UTI Dynamic Bond Fund - Regular Plan - Half-Yearly IDCW	13.2838
UTI Dynamic Bond Fund - Regular Plan - Quarterly IDCW	14.6779
	
	
	
	
	
Aditya Birla Sun Life Floating Rate Fund-Direct - daily IDCW	100.4858
Aditya Birla Sun Life Floating Rate Fund-Direct - weekly IDCW	100.5978
Aditya Birla Sun Life Floating Rate Fund-Direct Plan-Growth	311.7616
Aditya Birla Sun Life Floating Rate Fund-Regular - DAILY IDCW	100.4858
Aditya Birla Sun Life Floating Rate Fund-REGULAR - WEEKLY IDCW	100.589
Aditya Birla Sun Life Floating Rate Fund-Regular Plan-Growth	304.501
Aditya Birla Sun Life Floating Rate Fund-RETAIL - WEEKLY IDCW	100.6279
Aditya Birla Sun Life Floating Rate Fund-Retail Plan-Growth	440.4211
	
	
	
Axis Floater Fund - Direct Plan - Annual IDCW	1109.7147
Axis Floater Fund - Direct Plan - Daily IDCW	1000.6319
Axis Floater Fund - Direct Plan - Growth	1123.1101
Axis Floater Fund - Direct Plan - Monthly IDCW	999.8279
Axis Floater Fund - Direct Plan - Quarterly IDCW	1089.3398
Axis Floater Fund - Regular Plan - Annual IDCW	1100.5817
Axis Floater Fund - Regular Plan - Daily IDCW	1000.6269
Axis Floater Fund - Regular Plan - Growth	1113.3205
Axis Floater Fund - Regular Plan - Monthly IDCW	999.7741
Axis Floater Fund - Regular Plan - Quarterly IDCW	1080.2732
	
	
	
BANDHAN FLOATING RATE FUND  - DIRECT PLAN ANNUAL IDCW	10.4381
BANDHAN FLOATING RATE FUND  - DIRECT PLAN DAILY IDCW	10.0258
BANDHAN FLOATING RATE FUND  - DIRECT PLAN GROWTH	11.3899
BANDHAN FLOATING RATE FUND  - DIRECT PLAN MONTHLY IDCW	10.0537
BANDHAN FLOATING RATE FUND  - DIRECT PLAN PERIODIC IDCW	11.2904
BANDHAN FLOATING RATE FUND  - DIRECT PLAN QUARTERLY IDCW	10.1382
BANDHAN FLOATING RATE FUND  - DIRECT PLAN WEEKLY IDCW	10.0332
BANDHAN FLOATING RATE FUND  - REGULAR PLAN ANNUAL IDCW	10.4080
BANDHAN FLOATING RATE FUND  - REGULAR PLAN DAILY IDCW	10.0258
BANDHAN FLOATING RATE FUND  - REGULAR PLAN GROWTH	11.2464
BANDHAN FLOATING RATE FUND  - REGULAR PLAN MONTHLY IDCW	10.0344
BANDHAN FLOATING RATE FUND  - REGULAR PLAN PERIODIC IDCW	11.2466
BANDHAN FLOATING RATE FUND  - REGULAR PLAN QUARTERLY IDCW	10.1119
BANDHAN FLOATING RATE FUND  - REGULAR PLAN WEEKLY IDCW	10.0326
	
	
	
Baroda BNP Paribas Floater Fund - Direct Plan - Growth Option	10.3821
Baroda BNP Paribas Floater Fund - Direct Plan - Weekly IDCW Option	10.0200
Baroda BNP Paribas Floater Fund - Regular Plan - Growth option	10.3639
Baroda BNP Paribas Floater Fund - Regular Plan - Weekly IDCW option	10.0220
	
	
	
DSP Floater Fund - Direct Plan - Growth	11.4703
DSP Floater Fund - Direct Plan - IDCW	11.4703
DSP Floater Fund - Regular Plan - Growth	11.3918
DSP Floater Fund - Regular Plan - IDCW	11.3918
	
	
	
Franklin India Floating Rate Fund - Direct - Growth	38.2925
Franklin India Floating Rate Fund - Direct - IDCW 	10.1020
Franklin India Floating Rate Fund - Growth Plan	35.5195
Franklin India Floating Rate Fund - IDCW 	10.2044
	
	
	
HDFC Floating Rate Debt Fund - Daily IDCW Option	10.0809
HDFC Floating Rate Debt Fund - Direct Plan - Daily IDCW	10.0809
HDFC Floating Rate Debt Fund - Direct Plan - Growth Option	44.228
HDFC Floating Rate Debt Fund - Direct Plan - Monthly IDCW	10.1555
HDFC Floating Rate Debt Fund - Direct Plan - Weekly IDCW	10.0513
HDFC Floating Rate Debt Fund - Growth Option	43.534
HDFC Floating Rate Debt Fund - Monthly IDCW Option	10.1551
HDFC Floating Rate Debt Fund - Weekly IDCW Option	10.0508
	
	
	
ICICI Prudential Floating Interest Fund - Bonus	151.7062
ICICI Prudential Floating Interest Fund - Daily IDCW	101.4556
ICICI Prudential Floating Interest Fund - Direct Plan - Daily IDCW	101.4558
ICICI Prudential Floating Interest Fund - Direct Plan - Fortnightly IDCW	101.9935
ICICI Prudential Floating Interest Fund - Direct Plan - Growth	402.0937
ICICI Prudential Floating Interest Fund - Direct Plan - IDCW Others	171.9087
ICICI Prudential Floating Interest Fund - Direct Plan - Monthly IDCW	102.6565
ICICI Prudential Floating Interest Fund - Direct Plan - Quarterly IDCW	108.6397
ICICI Prudential Floating Interest Fund - Direct Plan - Weekly IDCW	102.1061
ICICI Prudential Floating Interest Fund - Fortnightly IDCW	101.9908
ICICI Prudential Floating Interest Fund - Growth	372.2450
ICICI Prudential Floating Interest Fund - IDCW Others	164.3187
ICICI Prudential Floating Interest Fund - Monthly IDCW	103.1015
ICICI Prudential Floating Interest Fund - Quarterly IDCW	107.1895
ICICI Prudential Floating Interest Fund - Weekly IDCW	102.0911
ICICI Prudential Floating Interest Fund Plan A - Dividend Daily	100.0251
ICICI Prudential Floating Interest Fund Plan A - Fortnightly Dividend	101.3988
ICICI Prudential Floating Interest Fund Plan A - Growth	300.7518
ICICI Prudential Floating Interest Fund Plan A - Weekly Dividend Option	101.1821
ICICI Prudential Floating Interest Fund Plan B - Dividend Daily	100.025
ICICI Prudential Floating Interest Fund Plan B - Fortnightly Dividend	101.397
ICICI Prudential Floating Interest Fund Plan B - Growth	324.7401
ICICI Prudential Floating Interest Fund Plan B - Weekly Dividend Option	101.1822
ICICI Prudential Floating Interest Fund Plan C - Dividend Daily	100.9403
ICICI Prudential Floating Interest Fund Plan C - Fortnightly Dividend	101.3966
ICICI Prudential Savings Fund Plan C - Growth	218.1632
ICICI Prudential Savings Fund Plan C - Weekly Dividend Option	101.3043
	
	
	
KOTAK FLOATING RATE FUND-DIRECT PLAN-GROWTH OPTION	1337.4146
KOTAK FLOATING RATE FUND-DIRECT PLAN-Standard Reinvestment of Income Distribution cum capital withdrawal option	1165.0921
KOTAK FLOATING RATE FUND-REGULAR PLAN-GROWTH OPTION	1315.7217
KOTAK FLOATING RATE FUND-REGULAR PLAN-STANDARD Reinvestment of Income Distribution cum capital withdrawal option	1170.9796
	
	
	
Nippon India Floating Rate Fund  - Direct Plan Growth Plan - Growth Option	41.1694
NIPPON INDIA FLOATING RATE FUND - DAILY IDCW REINVESTMENT Option	10.2487
NIPPON INDIA FLOATING RATE FUND - DIRECT Plan - DAILY IDCW Option	10.2703
NIPPON INDIA FLOATING RATE FUND - DIRECT Plan - IDCW Option	18.3683
NIPPON INDIA FLOATING RATE FUND - DIRECT Plan - MONTHLY IDCW Option	11.2415
NIPPON INDIA FLOATING RATE FUND - DIRECT Plan - QUARTERLY IDCW Option	10.7000
NIPPON INDIA FLOATING RATE FUND - DIRECT Plan - WEEKLY IDCW Option	10.2550
Nippon India Floating Rate Fund - Growth Plan-Growth Option	39.3255
NIPPON INDIA FLOATING RATE FUND - IDCW Option	17.7566
NIPPON INDIA FLOATING RATE FUND - MONTHLY IDCW Option	11.0458
NIPPON INDIA FLOATING RATE FUND - QUARTERLY IDCW Option	10.8091
NIPPON INDIA FLOATING RATE FUND - WEEKLY IDCW Option	10.2516
	
	
	
SBI Floating Rate Debt Fund - Direct Plan - Growth	11.6982
SBI Floating Rate DEBT Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	11.6975
SBI Floating Rate DEBT Fund - Direct Plan - Quarterly Income Distribution cum Capital Withdrawal Option (IDCW)	11.6983
SBI Floating Rate Debt Fund - Regular Plan - Growth	11.6289
SBI Floating Rate DEBT Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	11.6296
SBI Floating Rate DEBT Fund - Regular Plan - Quarterly Income Distribution cum Capital Withdrawal Option (IDCW)	11.6298
	
	
	
Tata Floating Rate Fund -Direct Plan-Growth	11.3010
Tata Floating Rate Fund-Direct Plan-IDCW Monthly Dividend Reinvestment	11.3010
Tata Floating Rate Fund-Direct Plan-IDCW Monthly Payout	11.3010
Tata Floating Rate Fund-Direct Plan-IDCW Periodic Dividend Reinvestment	11.3010
Tata Floating Rate Fund-Direct Plan-IDCW Periodic Payout	11.3010
Tata Floating Rate Fund-Direct Plan-IDCW Quarterly Dividend Reinvestment	11.3010
Tata Floating Rate Fund-Direct Plan-IDCW Quarterly Payout	11.3010
Tata Floating Rate Fund-Regular Plan-Growth	11.1908
Tata Floating Rate Fund-Regular Plan-IDCW Monthly Dividend Reinvestment	11.1908
Tata Floating Rate Fund-Regular Plan-IDCW Monthly Payout	11.1908
Tata Floating Rate Fund-Regular Plan-IDCW Periodic Dividend Reinvestment	11.1908
Tata Floating Rate Fund-Regular Plan-IDCW Periodic Payout	11.1908
Tata Floating Rate Fund-Regular Plan-IDCW Quarterly Dividend Reinvestment	11.1908
Tata Floating Rate Fund-Regular Plan-IDCW Quarterly Payout	11.1908
	
	
	
UTI - Floater Fund - Direct Plan - Growth Option	1374.6885
UTI - Floater Fund - Regular Plan  - Growth Option	1324.1028
UTI Floater Fund - Direct Plan - Annual IDCW	1258.4162
UTI Floater Fund - Direct Plan - Flexi IDCW	1295.0596
UTI Floater Fund - Direct Plan - Half-Yearly IDCW	1253.0615
UTI Floater Fund - Direct Plan - Quarterly IDCW	1250.1511
UTI Floater Fund - Regular Plan - Annual IDCW	1257.4895
UTI Floater Fund - Regular Plan - Flexi IDCW	1210.465
UTI Floater Fund - Regular Plan - Half-Yearly IDCW	1169.3866
UTI Floater Fund - Regular Plan - Quarterly IDCW	1152.5005
	
	
	
	
	
Aditya Birla Sun Life Govenment Securities Fund -DIRECT - Quarterly IDCW	11.5954
Aditya Birla Sun Life Govenment Securities Fund -Regular - Quarterly IDCW	11.0019
Aditya Birla Sun Life Government Securities Fund  - Growth - Regular Plan	70.3646
Aditya Birla Sun Life Government Securities Fund - Growth - Direct Plan	74.7552
	
	
	
AXIS CRISIL IBX 50:50 Gilt Plus SDL September 2027 Index Fund- DIRECT PLAN- IDCW	10.4718
AXIS CRISIL IBX 50:50 Gilt Plus SDL September 2027 Index Fund- DIRECT PLAN-GROWTH	10.4719
AXIS CRISIL IBX 50:50 Gilt Plus SDL September 2027 Index Fund- REGULAR PLAN-GROWTH	10.4562
AXIS CRISIL IBX 50:50 Gilt Plus SDL September 2027 Index Fund- REGULAR PLAN-IDCW	10.4562
Axis Gilt Fund - Direct Plan - Bonus Option	14.7352
Axis Gilt Fund - Direct Plan - Growth Option	23.1133
Axis Gilt Fund - Direct Plan - Half Yearly IDCW	10.6652
Axis Gilt Fund - Direct Plan - Regular IDCW	9.9952
Axis Gilt Fund - Regular Plan - Growth Option	21.8297
Axis Gilt Fund - Regular Plan - Half Yearly IDCW	10.3225
Axis Gilt Fund - Regular Plan - Regular IDCW	9.9930
	
	
	
BANDHAN Government Securities Fund - IP - Regular - Plan B - Half Yearly IDCW	10.8566
BANDHAN Government Securities Fund - IP - Regular Plan - Annual IDCW	11.1298
BANDHAN Government Securities Fund - IP - Regular Plan - Quarterly IDCW	11.4555
BANDHAN Government Securities Fund - IP - Regular -Plan B - Periodic IDCW	14.2099
BANDHAN Government Securities Fund - IP - Regular Plan - Growth	30.2525
BANDHAN Government Securities Fund - IP - Regular Plan - IDCW	11.4003
BANDHAN Government Securities Fund-  Investment Plan-Direct Plan-Annual IDCW	12.2170
BANDHAN Government Securities Fund-  Investment Plan-Direct Plan-Growth	32.3501
BANDHAN Government Securities Fund-  Investment Plan-Direct Plan-Half Yearly IDCW	11.7575
BANDHAN Government Securities Fund-  Investment Plan-Direct Plan-IDCW	12.4732
BANDHAN Government Securities Fund-  Investment Plan-Direct Plan-Periodic IDCW	15.3122
BANDHAN Government Securities Fund-  Investment Plan-Direct Plan-Quarterly IDCW	11.1422
	
	
	
Baroda BNP Paribas GILT FUND - Direct Plan - Growth Option	39.9192
Baroda BNP Paribas GILT FUND - Direct Plan - IDCW Option	31.5001
Baroda BNP Paribas GILT FUND - Regular Plan - Growth Option	36.5788
Baroda BNP Paribas GILT FUND - Regular Plan - IDCW Option	23.3378
	
	
	
CANARA ROBECO GILT FUND - DIRECT PLAN - GROWTH OPTION	69.9190
CANARA ROBECO GILT FUND - DIRECT PLAN - IDCW (Payout/Reinvestment)	15.8193
CANARA ROBECO GILT FUND - REGULAR PLAN - GROWTH OPTION	65.7431
CANARA ROBECO GILT FUND - REGULAR PLAN - IDCW (Payout/Reinvestment)	14.6974
	
	
	
DSP Government Securities Fund - Direct Plan - Growth	86.7162
DSP Government Securities Fund - Direct Plan - IDCW	12.2716
DSP Government Securities Fund - Direct Plan - IDCW - Monthly	10.7218
DSP Government Securities Fund - Regular Plan - Growth	82.2382
DSP Government Securities Fund - Regular Plan - IDCW	12.1684
DSP Government Securities Fund - Regular Plan - IDCW - Monthly	10.6706
	
	
	
Edelweiss Government Securities Fund - Direct Plan - Growth Option	22.2747
Edelweiss Government Securities Fund - Direct Plan - IDCW Option	22.186
Edelweiss Government Securities Fund - Direct Plan Fortnightly - IDCW Option	20.0855
Edelweiss Government Securities Fund - Direct Plan Monthly - IDCW Option	16.581
Edelweiss Government Securities Fund - Direct Plan weekly - IDCW Option	15.7881
Edelweiss Government Securities Fund - Regular Plan - Annual - IDCW Option	21.188
Edelweiss Government Securities Fund - Regular Plan - Growth Option	21.1786
Edelweiss Government Securities Fund - Regular Plan - IDCW Option	21.1925
Edelweiss Government Securities Fund - Regular Plan Fortnightly - IDCW Option	19.4394
Edelweiss Government Securities Fund - Regular Plan Monthly - IDCW Option	10.3373
Edelweiss Government Securities Fund - Regular Plan Weekly - IDCW Option	10.2581
	
	
	
Franklin India Government Securities Fund - Direct - Growth	56.2196
Franklin India Government Securities Fund - Direct - IDCW 	11.4854
Franklin India Government Securities Fund - Growth	51.7707
Franklin India Government Securities Fund - IDCW 	10.2073
	
	
	
HDFC Gilt Fund - Growth Option - Direct Plan	50.1131
HDFC Gilt Fund - Growth Plan	47.9673
HDFC Gilt Fund - IDCW Option - Direct Plan	12.3742
HDFC Gilt Fund - IDCW Plan	11.6584
	
	
	
HSBC Gilt Fund - Direct Growth	64.9630
HSBC Gilt Fund - Direct Quarterly IDCW	12.2843
HSBC Gilt Fund - Regular Growth	57.8629
HSBC Gilt Fund - Regular Quarterly IDCW	10.8425
	
	
	
ICICI Prudential Gilt Fund - Bonus	12.8414
ICICI Prudential Gilt Fund - Direct Plan - Growth	95.2504
ICICI Prudential Gilt Fund - Direct Plan - IDCW	17.9679
ICICI Prudential Gilt Fund - Direct Plan Bonus	18.0717
ICICI Prudential Gilt Fund - Growth	89.2094
ICICI Prudential Gilt Fund - IDCW	17.0993
ICICI Prudential Short Term Gilt Fund - Bonus	10.0481
ICICI Prudential Short Term Gilt Fund - Direct Plan -  Dividend	12.2962
ICICI Prudential Short Term Gilt Fund - Direct Plan -  Growth	44.6880
ICICI Prudential Short Term Gilt Fund - Direct Plan -  Half Yearly Dividend	10.7239
ICICI Prudential Short Term Gilt Fund - Direct Plan Bonus	12.8615
ICICI Prudential Short Term Gilt Fund - Dividend	12.1349
ICICI Prudential Short Term Gilt Fund - Growth	43.6350
ICICI Prudential Short Term Gilt Fund - Half Yearly Dividend	11.2589
	
	
	
Invesco India Gilt Fund - Annual IDCW (Payout / Reinvestment)	1170.1828
Invesco India Gilt Fund - Direct  Plan - Growth	2658.6084
Invesco India Gilt Fund - Direct Plan - Annual IDCW (Payout / Reinvestment)	1396.0853
Invesco India Gilt Fund - Direct Plan - Monthly IDCW (Reinvestment)	2074.6866
Invesco India Gilt Fund - Direct Plan - Quarterly IDCW (Payout / Reinvestment)	1019.1013
Invesco India Gilt Fund - Growth	2435.6037
Invesco India Gilt Fund - Monthly IDCW (Reinvestment)	1371.8396
Invesco India Gilt Fund - Quarterly IDCW (Payout / Reinvestment)	1110.3978
	
	
	
Kotak Gilt-Investment  Provident Fund and Trust-Growth	86.2824
Kotak Gilt-Investment  Provident Fund and Trust-Growth - Direct	96.2918
Kotak Gilt-Investment  Provident Fund and Trust-Payout of Income Distribution cum capital withdrawal option	11.6902
Kotak Gilt-Investment Regular-Growth	84.3373
Kotak Gilt-Investment Regular-Growth - Direct	94.0317
Kotak Gilt-Investment Regular-Payout of Income Distribution cum capital withdrawal option	16.4797
Kotak Gilt-Investment Regular-Payout of Income Distribution cum capital withdrawal option - Direct	21.2366
	
	
	
LIC MF Gilt Fund-Direct Plan-Growth	56.8694
LIC MF Gilt Fund-Direct Plan-IDCW	16.3909
LIC MF Gilt Fund-PF Plan-Growth	30.1919
LIC MF Gilt Fund-PF Plan-IDCW	19.5373
LIC MF Gilt Fund-Regular Plan-Growth	52.2747
LIC MF Gilt Fund-Regular Plan-IDCW	15.0682
	
	
	
NIPPON INDIA GILT SECURITIES FUND - Direct Plan - MONTHLY IDCW Option	11.5964
Nippon India Gilt Securities Fund - Direct Plan - P F Option - Automatic Annual Reinvest Option	19.9024
Nippon India Gilt Securities Fund - Direct Plan - P F Option - Automatic Capital Appreciation Payout Option	36.6744
Nippon India Gilt Securities Fund - Direct Plan - P F Option - Defined Maturity Date Option	36.8692
Nippon India Gilt Securities Fund - Direct Plan Growth Plan - Growth Option	36.7698
Nippon India Gilt Securities Fund - Institutional Plan-Growth Plan -Growth Option	33.5911
NIPPON INDIA GILT SECURITIES FUND - MONTHLY IDCW Option	10.4984
Nippon India Gilt Securities Fund -Growth Plan - Growth Option	33.0587
Nippon India Gilt Securities Fund -P F Option-Automatic Annual Reinvest Option	27.7202
Nippon India Gilt Securities Fund -P F Option-Defined Maturity Date Option	33.0587
Nippon India Gilt Securities Fund- Direct Plan- Growth Plan- Bonus Option	20.5507
Nippon India Gilt Securities Fund- Growth Plan- Bonus Option	13.0522
Nippon India Gilt Securities Fund-Institutional Plan-P F Option-Automatic Capital Appreciation Payout Option	23.0785
Nippon India Gilt Securities Fund-P F Option-Automatic Capital Appreciation Payout Option	33.0587
	
	
	
PGIM India Gilt Fund - Bonus	13.8662
PGIM India Gilt Fund - Direct Plan - Growth	27.9333
PGIM India Gilt Fund - Direct Plan - Half Yearly Bonus	12.8877
PGIM India Gilt Fund - Direct Plan - Quarterly Dividend	14.3049
PGIM India Gilt Fund - Growth	26.2674
PGIM India Gilt Fund - Half Yearly Bonus	12.6178
PGIM India Gilt Fund - Quarterly Dividend	13.6747
	
	
	
quant Gilt Fund - Growth Option - Direct Plan	10.5559
quant Gilt Fund - Growth Option - Regular Plan	10.4818
quant Gilt Fund - IDCW Option - Direct Plan	10.5561
quant Gilt Fund - IDCW Option - Regular Plan	10.4877
	
	
	
SBI MAGNUM GILT FUND -  GROWTH - PF (Fixed Period - 1 Yr) Option	N.A.
SBI MAGNUM GILT FUND -  GROWTH - PF (Fixed Period - 2 Yrs) Option	N.A.
SBI MAGNUM GILT FUND -  GROWTH - PF (Fixed Period - 3 Yrs) Option	34.2934
SBI MAGNUM GILT FUND -  GROWTH - PF (Regular) Option	36.7039
SBI MAGNUM GILT FUND - DIRECT PLAN - GROWTH	60.0471
SBI Magnum Gilt Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW)	19.1643
SBI Magnum Gilt Fund - Income Distribution cum Capital Withdrawal Option (IDCW) - PF (Fixed Period - 1 Yr)	17.6642
SBI Magnum Gilt Fund - Income Distribution cum Capital Withdrawal Option (IDCW) - PF (Fixed Period - 2 Yrs)	17.8749
SBI Magnum Gilt Fund - Income Distribution cum Capital Withdrawal Option (IDCW) - PF (Fixed Period - 3 Yrs)	17.3311
SBI Magnum Gilt Fund - Income Distribution cum Capital Withdrawal Option (IDCW) - PF (Regular)	18.4721
SBI MAGNUM GILT FUND - REGULAR PLAN - GROWTH	57.1732
SBI Magnum Gilt Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW)	17.5806
	
	
	
Tata Gilt Retirement Plan (28/2/25) - Payout of IDCW Option	30.9731
Tata Gilt Retirement Plan- 28/2/25 Growth Option	31.0237
Tata Gilt Securities Fund - Direct Plan - Payout of IDCW Option	21.0261
Tata Gilt Securities Fund - Regular Plan - Payout of IDCW Option	18.8545
Tata Gilt Securities Fund -Regular Plan- Growth Option	68.0222
Tata Gilt Securities Fund- Direct Plan - Growth Option	74.6811
	
	
	
Union Gilt Fund - Direct Plan - Annual IDCW Option	10.6950
Union Gilt Fund - Direct Plan - Growth Option	10.6950
Union Gilt Fund - Direct Plan - Half-yearly IDCW Option	10.6950
Union Gilt Fund - Regular Plan - Annual IDCW Option	10.6251
Union Gilt Fund - Regular Plan - Growth Option	10.6251
Union Gilt Fund - Regular Plan - Half-yearly IDCW Option	10.6251
	
	
	
UTI - GILT FUND - Direct Plan - Growth Option	56.2523
UTI - GILT FUND - Discontinued PF Plan - Growth Option	40.5836
UTI - GILT FUND - Discontinued PF Plan Prescribed Date Auto Redemption Option	40.6062
UTI - GILT FUND - Regular Plan - Growth Option	54.5821
UTI - GILT FUND -Discontinued PF Plan -Dividend Option	22.3373
UTI Gilt Fund - Direct Plan - IDCW	27.1645
UTI Gilt Fund - Regular Plan - IDCW	33.8572
	
	
	
	
	
BANDHAN Government Securities Fund - Constant Maturity Plan - Regular Plan - Quarterly IDCW	11.2587
BANDHAN Government Securities Fund - Constant Maturity Plan - Regular Plan - Growth	38.8167
BANDHAN Government Securities Fund - Constant Maturity Plan - Regular Plan - Weekly IDCW	10.1466
BANDHAN Government Securities Fund - Constant Maturity Plan - Regular Plan - Monthly IDCW	10.3731
BANDHAN Government Securities Fund - Constant Maturity Plan - Regular Plan - Periodic IDCW	13.8954
BANDHAN Government Securities Fund - Constant Maturity Plan -Direct Plan-Growth	39.3125
BANDHAN Government Securities Fund - Constant Maturity Plan -Direct Plan-Monthly IDCW	10.4125
BANDHAN Government Securities Fund - Constant Maturity Plan -Direct Plan-Periodic IDCW	11.7107
BANDHAN Government Securities Fund - Constant Maturity Plan -Direct Plan-Quarterly IDCW	11.5403
BANDHAN Government Securities Fund - Constant Maturity Plan -Direct Plan-Weekly IDCW	17.8490
	
	
	
DSP 10Y G-Sec Fund - Direct Plan - Growth	19.0983
DSP 10Y G-Sec Fund - Direct Plan - IDCW	10.9340
DSP 10Y G-Sec Fund - Direct Plan - IDCW - Monthly	10.3866
DSP 10Y G-Sec Fund - Direct Plan - IDCW - Quarterly	10.7565
DSP 10Y G-Sec Fund - Regular Plan - Growth	18.7079
DSP 10Y G-Sec Fund - Regular Plan - IDCW	10.7319
DSP 10Y G-Sec Fund - Regular Plan - IDCW - Monthly	10.5490
DSP 10Y G-Sec Fund - Regular Plan - IDCW - Quarterly 	10.8151
	
	
	
ICICI Prudential Constant Maturity Gilt Fund - Annual IDCW	10.4889
ICICI Prudential Constant Maturity Gilt Fund - Direct Plan - Annual IDCW	10.6928
ICICI Prudential Constant Maturity Gilt Fund - Direct Plan - Growth	21.4514
ICICI Prudential Constant Maturity Gilt Fund - Direct Plan - Half Yearly IDCW	10.6790
ICICI Prudential Constant Maturity Gilt Fund - Direct Plan - Monthly IDCW	11.3870
ICICI Prudential Constant Maturity Gilt Fund - Direct Plan - Quarterly IDCW	11.0132
ICICI Prudential Constant Maturity Gilt Fund - Growth	21.0403
ICICI Prudential Constant Maturity Gilt Fund - Half Yearly IDCW	10.3816
ICICI Prudential Constant Maturity Gilt Fund - Monthly IDCW	11.1867
ICICI Prudential Constant Maturity Gilt Fund - quarterly IDCW	10.7736
	
	
	
SBI MAGNUM CONSTANT MATURITY FUND - DIRECT PLAN - GROWTH	56.3856
SBI Magnum Constant Maturity Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW)	18.3413
SBI MAGNUM CONSTANT MATURITY FUND - REGULAR PLAN - GROWTH	54.5385
SBI Magnum Constant Maturity Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW)	17.7378
	
	
	
UTI Gilt Fund with 10 year Constant Duration - Direct Plan - Annual IDCW Option	10.6958
UTI Gilt Fund with 10 year Constant Duration - Direct Plan - Flexi IDCW Option	10.8775
