Scheme Name	Net Asset Value
HSBC Banking and PSU Debt Fund - Regular Growth	21.2974
HSBC Banking and PSU Debt Fund - Regular Monthly IDCW	10.6762
HSBC Banking and PSU Debt Fund - Regular Weekly IDCW	10.3253
	
	
	
ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW	10.0549
ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW	10.2427
ICICI Prudential Banking and PSU Debt Fund - Bonus	15.8889
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW	10.2538
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth	29.6639
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW	12.6117
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW	10.3708
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus	13.8665
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option	13.1098
ICICI Prudential Banking and PSU Debt Fund - Growth	28.6224
ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW	10.6916
ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option	12.9261
ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend	10.0122
ICICI Prudential Banking and PSU Debt Fund Retail Growth	21.631
ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend	10.3305
	
	
	
Invesco India Banking & PSU Debt Fund - Daily IDCW (Reinvestment)	1011.3195
Invesco India Banking & PSU Debt Fund - Direct Plan -  Growth Option	2100.3281
Invesco India Banking & PSU Debt Fund - Direct Plan - Daily IDCW (Reinvestment)	1032.2094
Invesco India Banking & PSU Debt Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)	1010.3465
Invesco India Banking & PSU Debt Fund - Growth Option	1972.3166
Invesco India Banking & PSU Debt Fund - Monthly IDCW (Payout / Reinvestment)	1030.5108
	
	
	
ITI Banking & PSU Debt Fund - Direct Plan - Growth Option	11.6284
ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option	11.6284
ITI Banking & PSU Debt Fund - Regular Plan - Growth Option	11.4417
ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option	11.4417
	
	
	
Kotak Banking and PSU Debt - Annual Dividend	16.1842
Kotak Banking and PSU Debt - Daily Dividend Reinvestment	10.188
Kotak Banking and PSU Debt - Direct Daily Dividend Reinvestment	10.2604
Kotak Banking and PSU Debt - Growth	56.986
Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option	10.7064
Kotak Banking and PSU Debt Direct - Annual Dividend	17.1427
Kotak Banking and PSU Debt Direct - Growth	58.9736
Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option	10.293
	
	
	
LIC MF Banking & PSU Debt Fund-Direct Plan-Daily IDCW	13.149
LIC MF Banking & PSU Debt Fund-Direct Plan-Growth	32.4974
LIC MF Banking & PSU Debt Fund-Direct Plan-Monthly IDCW	12.2389
LIC MF Banking & PSU Debt Fund-Direct Plan-Weekly IDCW	10.0544
LIC MF Banking & PSU Debt Fund-Regular Plan-Daily IDCW	10.8899
LIC MF Banking & PSU Debt Fund-Regular Plan-Growth	30.3965
LIC MF Banking & PSU Debt Fund-Regular Plan-Monthly IDCW	11.3762
LIC MF Banking & PSU Debt Fund-Regular Plan-Weekly IDCW	10.0514
	
	
	
Mirae Asset Banking and PSU Debt Fund Direct Growth	11.5188
Mirae Asset Banking and PSU Debt Fund Direct IDCW	11.5182
Mirae Asset Banking and PSU Debt Fund Regular Growth Plan	11.3570
Mirae Asset Banking and PSU Debt Fund Regular IDCW	11.3580
	
	
	
Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Bonus Option	18.6716
Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Growth Option	18.6713
Nippon India Banking  & PSU Debt Fund- Growth Plan- Bonus Option	12.3452
Nippon India Banking  & PSU Debt Fund- Growth Plan- Growth Option	18.1151
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - IDCW Option	18.6713
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - MONTHLY IDCW Option	10.6588
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - QUARTERLY IDCW Option	10.6615
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - WEEKLY IDCW Option	10.2746
NIPPON INDIA BANKING & PSU DEBT FUND - IDCW Option	18.1151
NIPPON INDIA BANKING & PSU DEBT FUND - MONTHLY IDCW Option	10.5945
NIPPON INDIA BANKING & PSU DEBT FUND - QUARTERLY IDCW Option	10.6119
NIPPON INDIA BANKING & PSU DEBT FUND - WEEKLY IDCW Option	10.2755
	
	
	
SBI Banking & PSU Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1266.9444
SBI BANKING & PSU FUND - Direct Plan - Growth	2876.3281
SBI Banking & PSU Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	1229.2544
SBI Banking & PSU Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1264.1289
SBI BANKING & PSU FUND - Regular Paln - Growth	2727.9192
SBI Banking & PSU Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1244.5526
SBI Banking & PSU Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	1167.6634
SBI Banking & PSU Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1244.2895
	
	
	
Sundaram Banking & PSU Debt Fund - Direct Growth	11.7065
Sundaram Banking & PSU Debt Fund - Direct Monthly Dividend	11.4008
Sundaram Banking & PSU Debt Fund - Direct Quarterly Dividend	10.6356
Sundaram Banking & PSU Debt Fund - Regular Annual Bonus	11.6319
Sundaram Banking & PSU Debt Fund - Regular Growth	11.6493
Sundaram Banking & PSU Debt Fund - Regular Monthly Dividend	11.1411
Sundaram Banking & PSU Debt Fund - Regular Quarterly Bonus	11.1681
Sundaram Banking & PSU Debt Fund - Regular Weekly Dividend	10.1418
Sundaram Banking & PSU Debt Fund Regular Quarterly Dividend	11.0236
Sundaram Banking and PSU Debt Fund Direct Plan - Bonus	18.9861
Sundaram Banking and PSU Debt Fund Direct Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	10.2300
Sundaram Banking and PSU Debt Fund Direct Plan - Growth	37.9519
Sundaram Banking and PSU Debt Fund Direct Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)	11.5337
Sundaram Banking and PSU Debt Fund Regular Plan - Bonus	18.9161
Sundaram Banking and PSU Debt Fund Regular Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	10.3550
Sundaram Banking and PSU Debt Fund Regular Plan - Growth	37.5117
Sundaram Banking and PSU Debt Fund Regular Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)	11.5859
Sundaram Banking and PSU Debt Fund Regular Plan - Weekly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	12.1016
Sundaram Banking and PSU Debt Fund Retail Plan - Growth	33.8059
Sundaram Banking and PSU Debt Fund Retail Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)	11.4907
SundaramBanking&PSUDebtFund-RegularDailyDividendReinvestment	11.6582
	
	
	
Tata Banking & PSU Debt Fund  Direct Plan - Payout of Income Distribution cum capital withdrawal option 	12.8163
Tata Banking & PSU Debt Fund  Direct Plan - Reinvestment of Income Distribution cum capital withdrawal option 	12.8163
Tata Banking & PSU Debt Fund Regular Plan - Payout of Income Distribution cum capital withdrawal option 	12.5629
Tata Banking & PSU Debt Fund Regular Plan - Reinvestment of Income Distribution cum capital withdrawal option 	12.5629
Tata Banking & PSU Debt Fund-Direct Plan-Growth	12.8163
Tata Banking & PSU Debt Fund-Regular Plan-Growth	12.5629
	
	
	
TRUSTMF BANKING & PSU DEBT FUND - DIRECT GROWTH	1130.4445
TRUSTMF BANKING & PSU DEBT FUND - REGULAR GROWTH	1115.4449
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION	1058.5611
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1133.852
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION	1045.5173
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1063.6054
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1036.546
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1043.9434
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1117.5354
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1036.5164
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1050.1504
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1030.0203
	
	
	
UTI Banking & PSU Debt Fund - Direct Plan - Annual IDCW	12.3806
UTI Banking & PSU Debt Fund - Direct Plan - Flexi IDCW	16.7302
UTI Banking & PSU Debt Fund - Direct Plan - Growth Option	19.4148
UTI Banking & PSU Debt Fund - Direct Plan - Half-Yearly IDCW	12.8831
UTI Banking & PSU Debt Fund - Direct Plan - Monthly IDCW	12.7035
UTI Banking & PSU Debt Fund - Direct Plan - Quarterly IDCW	14.4501
